2017-08-23,2936,128.55.205.x,17279973567080,1762,descr:      National Energy Research Scientific Computing Center (NERSC),3
2017-08-23,22561,192.249.6.x,12449211548472,24186,descr:      Akamai Technologies,3557
2017-08-23,1251,200.136.80.x,12276563574784,230930,descr:      ANSP,98
2017-08-23,2611,193.58.172.x,8004262494208,4162,descr:          BELNET,29
2017-08-23,786,130.246.176.x,7664663199744,92546,descr:          NET-BUCKSCOLL,254
2017-08-23,137,193.206.93.x,7642419560448,110359,descr:          Aggregated GARR routes,85
2017-08-23,3452,138.26.125.x,7183998369824,237,descr:         Proxy-registered route object,15
2017-08-23,224,109.105.125.x,6773870297088,1248,descr:          NTANET,18
2017-08-23,58069,192.108.68.x,5168931726336,2331,descr:          Karlsruhe Institute of Technology (KIT),3
2017-08-23,10052,155.230.21.x,4977108385792,67,descr:      contact djbang@bh.knu.ac.kr if necessary,2

2017-08-24,2936,128.55.205.x,19551548293568,1842,descr:      National Energy Research Scientific Computing Center (NERSC),3
2017-08-24,22561,192.249.6.x,17749271581936,36450,descr:      Akamai Technologies,3557
2017-08-24,1251,200.136.80.x,13135983935488,236310,descr:      ANSP,98
2017-08-24,137,193.206.93.x,8781241778176,115878,descr:          Aggregated GARR routes,85
2017-08-24,10052,155.230.21.x,6486193537024,134,descr:      contact djbang@bh.knu.ac.kr if necessary,2
2017-08-24,3452,138.26.125.x,6360911035912,360,descr:         Proxy-registered route object,15
2017-08-24,1224,141.142.161.x,5434278019072,102,descr:      University of Illinois,5
2017-08-24,786,152.78.176.x,4435695035168,99308,descr:          NET-BUCKSCOLL,254
2017-08-24,224,109.105.125.x,4401547837440,1879,descr:          NTANET,18
2017-08-24,2611,193.58.172.x,3899319844864,5553,descr:          BELNET,29

2017-08-25,2936,128.55.205.x,24600794015232,1922,descr:      National Energy Research Scientific Computing Center (NERSC),3
2017-08-25,1251,200.136.80.x,10750658805760,241690,descr:      ANSP,98
2017-08-25,3452,138.26.125.x,8569659869304,483,descr:         Proxy-registered route object,15
2017-08-25,1224,141.142.161.x,7477175582720,188,descr:      University of Illinois,5
2017-08-25,137,193.206.93.x,4077554958336,121397,descr:          Aggregated GARR routes,85
2017-08-25,7660,203.181.249.x,3193545141376,4298,descr:         Proxy-registered route object,10
2017-08-25,58069,192.108.68.x,2953841147904,2619,descr:          Karlsruhe Institute of Technology (KIT),3
2017-08-25,291,198.125.208.x,2519535315928,8760,descr:              University of Wisconsin,11
2017-08-25,5786,136.145.129.x,1673184083968,16223,descr:      COLUMBUS NETWORKS TRANSIT CUSTOMERS,184
2017-08-25,45474,137.189.99.x,1514200186880,5167,descr:      PACNET (proxy-registered route object),2909

2017-08-26,2936,128.55.205.x,38387562686528,2002,descr:      National Energy Research Scientific Computing Center (NERSC),3
2017-08-26,137,131.154.130.x,23487887376384,126916,descr:          Aggregated GARR routes,85
2017-08-26,3452,138.26.125.x,9157676853128,606,descr:         Proxy-registered route object,15
